,Products
1413,Calamine Lotion (PharmaGeorge) 200ml
1414,TUSSIN DM COUGH ADULT 118ML(SUGAR-FREE)
1415,Durol Tonic 200ml Syrup
1416,Colgate Advanced Whitening Toothpaste
1417,Glucometer (Maccura)
1418,Aziwok 200mg/5ml 15ml Suspension
1419,Axe Spray 150ml
1420,Tampax (18 Pieces)
1421,tetanus antitoxin(angel prin) 1500IU
1422,MOLFIX SMALL JUNIOR SZ5 11-25KG 7'S
1423,Betatop (Carvedilol) 3.125mg Tablet
1424,Mist Senna Co
1425,Martin's Liver Salt (Lemon)
1426,Co-Codamol (M&A) 8mg/500mg Tablets
1427,Diclo-Denk 100mg Retard Tablets
1428,Emla 5% 5g Cream
1429,metro-z tablet
1430,SUDAFED CONGESTION & HEADACHE RELIEF(16
1431,PROZAC 20MG
1432,Ciprolex 0.3% 5ml Eye/Ear Drop
1433,Imax Spray
1434,Aquatabs (200 Doses) Tablets
1435,Cafalgin (10 Doses) Capsules
1436,MIST POTASSIUM CITRATE (CARE) 200ML
1437,GEBEDOL
1438,Exforge HCT 5mg/160mg/25mg Tablets
1439,Robestar 20mg Tablets
1440,Clexane 8000IU (80mg)/0.8ml
1441,Colosar-Denk 100mg/12.5mg Tablets
1442,Frusemide(Grand pharm)20mg/2ml Inj.
1443,Coversyl 5mg Tablets
1444,CENTRUM SIL/WOMEN TABS (65)
1445,Onglyza 2.5mg Tablets
1446,Becoactin 200ml Syrup
1447,Pepsodent Cavity Fighter 175g
1448,Lamisil 250mg Tablets
1449,Tiger 1% Spray
1450,Zyngerol Ginger Concentrate Capsules
1451,Provera 10mg Tablets
1452,Tobin's Codliver Oil (10 Doses) Caps
1453,Scipette Pipette 10-100ul
1454,Candid V1 500mg Pessary
1455,AMOXICILLIN 500MG(GR)
1456,LACTONATAL+DHA DENK
1457,Co-Trimoxazole (Letap) 100ml Susp
1458,MULTIVITAMIN
1459,Zycard 8mg Tablets
1460,Dilatrend 6.25mg Tablets
1461,Magnes Direct (30 Doses) Denk
1462,Floxapen 125mg/5ml Suspension
1463,Prostacure Herbal Tea
1464,EUTHYMOL PASTE
1465,Tylenol 8hr Arthritis 500mg Caplets
1466,Amlodipine (Teva) 5mg Tablets
1467,HbA1c 501 (Hemocue) Daily cartridge
1468,Wellbaby 150ml Syrup
1469,Cipromax (PhytoRiker) 500mg Tablets
1470,Diclofenac (Sandoz) 150mg Tablets
1471,Blood lancet (Covcare)
1472,Kefstar 250mg Tablets
1473,PANADOL ADVANCE 500MG (16 DOSES)
1474,Dermomed (Anti Odore) 300ml
1475,Ibuprofen (Flamingo) 200mg Tablets
1476,Gentamycin (ciron) 10ml drop
1477,Bendroflumethiazide(Bristol) 5mg Tab
1478,Hoftrex (Ceftriaxone) 1g IV/IM
1479,Castor Oil (Ayrtons) 70ml
1480,Gen-M 30mg/180mg 60ml Suspension
1481,Cycorange 100ml Syrup
1482,Biovid Forte Tablets
1483,TOP-ROLL MULT&MIN CAP
1484,Evening Primrose(Valupak) 500mg(30's)
1485,Coartem 20mg/120mg (24 doses) Tablets
1486,LOSARTAN 25MG
1487,Maib Assay Kit (Maccura)
1488,DEEP FREEZE SPRAY
1489,Neutriderm Brightening Bar
1490,Pregabalin (Sandoz) 75mg Tablet
1491,Nevanac 1mg/1ml Eye Drops
1492,Clear Zit Acne Treatment Cream 28g
1493,CLOPIDOGREL 75MG
1494,Tiger (Orange) Lozenges
1495,Ferrodex 200ml Syrup
1496,Nivea Deodorant Spray 150ml
1497,Covonia Bronchial Balsam 150ml Syrup
1498,APC (10 Doses) Tablets
1499,ISOSORBIDE DINITRATE 20MG
1500,Atwood's Laxative Bitters
1501,Chloramphenicol (Ciron) 5% Ear Drops
1502,Augmentin 625mg Tablets
1503,entrancin 150mg capsule
1504,Scipette Pipette 100-1000ul
1505,BENDROFLUMETHIAZIDE(ACCORD) 5MG
1506,Disposable Sterile Lancet (Maccura)
1507,Bisoprolol (Milpharm) 5mg Tablets
1508,Histacet 10mg Tablets
1509,Proxeed Women Sachets
1510,Martin's Liver Salt (Orange)
1511,Tavanic 500mg Tablets
1512,Slow-Mag (Merck) Capsules
1513,GYNO-MYCOLEX 400MG (3DOSES)
1514,Ecalta 100mg Infusion
1515,Aptizooom 200ml Syrup
1516,Travogen 1% Cream 20g
1517,Hayzine 10mg Tablets
1518,Sumoactive Syrup
1519,Procomil Spray
1520,Virest 400mg Tablets
1521,Bisoprolol (Teva) 5mg Tablets
1522,Strepsils Original Lozenges
1523,RADOX RADIANT BAR SOAP 125G (3 PIECES)
1524,0.2ml PCR TUBE (800s)
1525,ADVAPRAZOLE (OMEPRAZOLE) 20MG CAPS
1526,Losartan (Torrent) 100mg Tablets
1527,Xalacom 50mcg/5mg 2.5ml Eye Drops
1528,Gen-M 80mg/480mg (6 Doses) Tablets
1529,Fisherman's Friend
1530,Voltaren Emulgen Cream 20g
1531,Cefunat 250mg Tablets
1532,Bell's Gentian Violet 28ml
1533,Infared Thermometer (Xiaoya)
1534,Mighty Power S/S
1535,VITAMIN B-CO TABS BLISTER 10'S
1536,Amcof adult 100ml cough syrup
1537,oxytocin 10iu/1ml injection
1538,Tamoxifen (Teva) 20mg Tablets
1539,Kamsten (Artesunate) 120mg/2ml Inj.
1540,Letalin Expectorant 125ml Syrup
1541,Snapple (Apple ) 473ml
1542,Onetouch Select Plus Strips
1543,Pinek 20mg Tablets
1544,MIST EXPECT SED 200ML
1545,Glucophage 1g Tablets
1546,Wellman Prostate (60 Doses) Tablets
1547,50uL Pipette Tips
1548,"ZINC OXIDE PLASTER 3"""
1549,Sample Release Reagent (48's)
1550,Cusicrom 2% Eye Drops
1551,Pepto Bismol 236ml Suspension
1552,Hydrogen Peroxide (Care) 200ml
1553,Clarithromycin (ernest) 250mg tablet
1554,Vitamin B Comp. Strong(Remedy) Tab
1555,NESTRIM (ERNEST) 480MG
1556,Kidivite 125ml Syrup
1557,HEALTHAID BIOTIN 100MCG (30 DOSES) TABS
1558,Feroclear Syrup 150ml
1559,Lonart 20mg/120mg 60ml Suspension
1560,Nortiz 400mg Tablets
1561,zubes children's cough 60ml syrup
1562,Normal Saline 0.9%(Otsuka) 1000ml Inf
1563,TOBRIN 0.3% OINT 5G
1564,Wellkid Syrup
1565,Otrivin Infant 0.05% Nasal Drops
1566,Nifedi-Denk 20mg Tablets
1567,Sertraline (Teva) 50mg Tablet
1568,Sumatriptan (Milpharm) 50mg Tablets
1569,Celecoxib (Milpharm) 200mg Capsules
1570,EXYLAX (BISACODYL) 5MG
1571,Tamoxifen (wockhardt) 20mg tablet
1572,Dexatrol Eye Drops
1573,Vaseline Cocoa Radiant 400ml
1574,Newflex Warming Relaxation Gel 60ml
1575,Slim Smart (Luex) Capsule (60 doses)
1576,Diabetmin 500mg Tablets
1577,close up 160g toothpaste
1578,Microgynon Fe (28 Doses) Tablets
1579,COLCHICINE 500MCG TABS
1580,Aveeno Adult Lotion
1581,Child Care Ascorbin Vit C 100ml Syrup
1582,Avamys 27.5mcg/spray Nasal Spray
1583,Atacand 16mg Tablets
1584,WBC (Hemocue) Microcuvettes
1585,Co-Diovan 160mg/12.5mg Tablets
1586,Xarelto 10mg Tablets
1587,Candinil 150mg Tablets
1588,Olanzapine (Exeter) 5mg Tablet
1589,Mentos Fruit Roll
1590,<Blocked Duplicate>
1591,Vielung Acrylic (Flowery) 200g
1592,Expelyn Cough Expectorant 100ml
1593,Insuman Basal 500IU/5ml Injection
1594,Drez Solution 30ml
1595,Omzol(Omeprazole) 40mg IV.
1596,Gucefor 750mg IM/IV
1597,Esidrex 25mg Tablets
1598,Halls Cough Lozenges (All Flavours)
1599,Digoxin (Accord) 125mcg Tablets
1600,Canesten 1% Cream 20g
1601,Atrolak XL 50mg Tablets
1602,Betaloc Zok 100mg Tablets
1603,Ascorex Cough 100ml Syrup
1604,Kidicare 200ml Syrup
1605,Extraflex capsule
1606,Yafo Man Power (30 doses) Capsules
1607,Sweetex (700 Doses) Tablets
1608,G-Ceftria 1g IM/IV
1609,Vitane 200ml Syrup
1610,FISH OIL 1000MG SOFTGEL 30'S(NATURE'S ME
1611,Eskafulvin 125mg Tablets
1612,n95 mask
1613,Feldene 20mg Tablets
1614,Fluxacin 250mg Capsules
1615,Azilex 250mg Capsules
1616,Baclofen (Teva) 10mg Tablets
1617,Olanzapine (Teva) 10mg Tablet
1618,LISTERIN ORG. ALL FL 250ML
1619,Johnson's Baby Oil 300ml
1620,Today Vaginal Contaceptive
1621,SPICEMEN VIAL
1622,One-A-Day Women's (60 Doses) Tablets
1623,FACE MASK(FFP1)
1624,GILOBA SOFTGEL
1625,Kiss Condom (3 pieces)
1626,carbimazole (tillomed) 5mg tablet
1627,Diamicron 60mg Tablets
1628,Prostavital (HealthAid) (30 Doses)
1629,Anticid Plus Suspension
1630,Clobet (Ayrton) 15g Cream
1631,Menthox Child 60ml Syrup
1632,Zinnat 250mg Tablets
1633,Colgate Extra Clean Toothbush
1634,Valupak Folic Acid 400mcg (90 Doses)
1635,PARACETAMOL 500MG(GH)TAB
1636,Wellman Drink
1637,Omeprazole (NorthStar) 20mg Capsule
1638,Aciclovir (Actavis) 400mg Tablets
1639,Combigan Eye Drops 5ml
1640,Pure Honey (Honey World) 1L
1641,"Crepe Bandage 4"""
1642,Zestoretic-20 20mg/12.5mg Tablets
1643,Ciprotin 500mg/600mg Tablets
1644,METRONIDAZOLE 200MG TAB 21'S(CRESCENT)
1645,Paracetamol (zentiva)500mg Tablets
1646,Ponstan 250mg Capsules
1647,AideKit Rapid Malaria Test
1648,Maxisporin Eye Drop
1649,Tramadol Denk 50mg Tablets
1650,Lipitor 20mg Tablets
1651,POLYFER SYR 200ML
1652,Folic Acid (Accord) 5mg Tablets
1653,Lymzole 20mg Capsules
1654,Exforge HCT 10mg/160mg/25mg Tablets
1655,Proximexa 250mg Tablets
1656,Night Time Cough Cherry Syrup 118ml
1657,TRANEXAMIC ACID 500MG INJECTION
1658,pepto bismol 240ml
1659,Magacid 150ml Suspension
1660,Phytomox 125mg/5ml Suspension
1661,AMOXICILLIN 500MG
1662,Stemetil 5mg Tablets
1663,Cerelac Rice 400g
1664,FAYTEX CLASSIC PAD
1665,Hip Organic Food Jar 125g
1666,Orelox 200mg Tablets
1667,Chlorpheniramine (ECL) 2mg/5ml Syrup
1668,perinorm 10mg Inj
1669,Johnson's Baby Wipes
1670,AMOXICILLIN 500MG (GR-MOX)
1671,MOLFIX GIANT MA
1672,Zintab(10 Doses) 10mg Tablet
1673,Chloramphenicol (Adore) Eye Drop
1674,Ligaba 75mg Capsules
1675,Carvedilol (Teva) 12.5mg Tablets
1676,Clexane 4000IU (40mg)/0.4ml
1677,Chinese Brush
1678,Daktarin 2% Powder
1679,Fiesta All Night condom (3 pieces)
1680,Klire Antacid 200ml Suspension
1681,TRIHEXYPHENIDYL 5MG
1682,Kalamina Lotion 200ml
1683,HEALTHPOINT SPECTACLES & LENS WIPES (50
1684,Oxafen(Piroxicam) (10 doses)20mg Caps
1685,Mycolex Powder
1686,Epilim 200mg Tablets
1687,Dilatrend 12.5mg Tablets
1688,Cromax-2 Eye Drops
1689,NCP Antiseptic 100ml
1690,MetroGR(Metronidazole) 200mg/5ml Susp
1691,Cipropharm 200mg/100ml IV Infusion
1692,Adutwumwaa 350ml Tonic
1693,Pampers Size 3 (80 Pieces)
1694,Xin-A 250mg/5ml 100ml Suspension
1695,IMMUN ACTIVE DENK
1696,HYOSPHARM (BUSCOPAN) 20MG/ML INJECTION
1697,M2-Tone (20 Doses) Tablets
1698,Rosuvastatin (Teva) 10mg Tablets
1699,Nestrim 40mg/200mg Suspension 100ml
1700,Keppra 750mg Tablets
1701,Febuday 80mg Tablets
1702,Zedex (Herbal) 100ml suspension
1703,Healthilife Vitam C Chew. 500mg Tab
1704,Disp. Aspirin(Numark) 75mg(100 doses)
1705,Daytime Cold & Flu 355ml Syrup
1706,Keppra 250mg Tablets
1707,Letavin 500mg Tablets
1708,Lumizap 20mg/120mg 60ml Suspension
1709,Viscof-D Dry Cough 100ml Syrup
1710,SELENIUM PLUS
1711,Epifenac 0.1% 5ml Eye Drop
1712,Ranitidine 150mg Tablets
1713,Xanax 0.25mg Tablets
1714,Aerius 0.5mg/5ml 150ml Suspension
1715,ZITHROMAX 500MG INJ
1716,Anti-Itch Cream (Dr.Sheffield's) 35g
1717,METHYLDOPA (J. PENGYAO) 250MG TABS
1718,Milk Of Magnesia (Equate) 355ml
1719,GLUCOPHAGE 500MG
1720,Dragon Pregnancy Test Kit
1721,AQUAFRESH (FRESH MINT) MOUTHWASH 500ML
1722,Glucerna Shake 237ml
1723,ATORVASTATIN(JCSH PHARMA) 10MG
1724,Ovestin 1mg Cream 15g
1725,Sumatriptan (Accord) 50mg Tablets
1726,Promethazine (ECL) 5mg/5ml Syrup
1727,K-Balm 9ml
1728,Primidone (Serb) 50mg Tablets
1729,Immunace Original (30 Doses) Tablets
1730,NAN 2 400g
1731,C-Press Eye Drop
1732,STARWIN MILK OF MAGNESIA 120ML
1733,Kwik Action (4 Doses) Tablets
1734,Novorapid Flexpen 100IU/ml
1735,BELL'S HYDROGEN PEROXIDE 200ML
1736,Extrammune (20 doses) Tablets
1737,Rocephin 2g IV Injection
1738,COVONIA HERBAL MUCUS COUGH SYR 150ML
1739,Olive Oil Garlic (Borges) 250ml
1740,No. 10 Liversalt
1741,Stay Dry Adult Diaper
1742,Tranexamic Acid (Vega) 500mg Tablets
1743,Aciclovir (Ranbaxy) 400mg Tablet
1744,salocold (4 doses) tablet
1745,ADVIL CHILDREN'S SUSPENSION 120ML
1746,Xarelto 2.5mg tablet
1747,Aprovel 150mg Tablets
1748,AMLODIPINE 5MG (EXETER)
1749,Gudapet Syrup
1750,Dyklo spray 60ml
1751,200ul filter pipette tips
1752,CARVEDILOL 6.25MG (EXETER)
1753,Folic Acid (ECL) 5mg Tablets
1754,Amlodipine (Sandoz) 10mg Tablet
1755,Doxycycline (Eskay) 100mg Capsules
1756,Savlon 750ml
1757,KY Jelly 50ml
1758,Baseboom 50mg Oral Jelly
1759,PANADOL ETRA ADVANCE 500MG/65MG (14 DOSE
1760,Dymol 50mg/500mg (10 Doses) Tablets
1761,WBC (Hemocue) Diff Analyzer
1762,Ibucap Blister (10 Doses) Capsules
1763,Zovirax Cold Sore 2g Cream
1764,Atenolol (Bristol) 50mg Tablet
1765,Zoladex 10.8mg Injection
1766,TCP 100ml
1767,ASCOVITE C TABS
1768,HPV DNA Diagnostic (Geneproof) Kit
1769,Phenergan 5mg/5ml 100ml Syrup
1770,Amedine 10mg Tablets
1771,Vitamin B-Complex Tablets
1772,CLOPIDOGREL 75MG (EXETER)
1773,Atenolol (Crescent) 100mg Tablet
1774,carvedilol (bristol) 3.125mg tablet
1775,Menthox Adult Cough Mixture 125ml
1776,Fiesta Extra condom (3 pieces )
1777,Tritace 10mg Tablets
1778,Orelox 40mg/5ml 50ml Suspension
1779,Proximexa 125mg/5ml 50ml Suspension
1780,Solak Mixture
1781,GOGYNAX CREAM 30G
1782,Drez Ointment 10g
1783,ABC Baby Teething Mixture 100ml
1784,Candibiotic Ear Drop
1785,Alpha Garlic (60 Doses) Capsules
1786,Purell Hand Sanitizer 118ml
1787,Zest Bar Soap
1788,LONART DS
1789,CHLORXY-G 7.1% GEL
1790,Clarit (Clarithromycin) 250mg Tab
1791,Amitriptyline (Teva) 25mg Tablets
1792,Bioferon (30 Doses) Capsules
1793,MULTIVITAMIN TABS (10 DOSES)
1794,Itraconazole (Torrent) 100mg Cap
1795,emgiflox 100ml suspension
1796,H/AID LIVERCARE TABS
1797,PLASTER STRIPS (PLASTER)
1798,Azomax 500mg Tablets
1799,Tylenol Extra Strength 500mg Caplets
1800,Neoral 100mg Capsules
1801,wellkid (30 doses) chewable tablet
1802,Wormbat-400 Tablet
1803,ATORVASTATIN 20MG
1804,DOXYCYCLINE CAPS 100MG
1805,Rooter Mixture 750ml
1806,Tadol 100mg Injection
1807,Amoxicillin(Exeter) 125mg/5ml Susp
1808,PROPRANOLOL 40MG TAB
1809,MOLFIX SMALL MAXI SZ4 7-18KG 10'S
1810,Advil 200mg/25mg PM (2doses) Caplets
1811,Streptol (6 Doses) lozenges
1812,vikil-20 immune booster 250ml syrup
1813,Ovacare tablet
1814,Aciclovir (ranbaxy) 200mg tablets
1815,Furosemide (Crescent) 40mg Tablet
1816,Givers Power (30 Doses) Capsules
1817,Sebamed Antidandruff Shampoo 200ml
1818,Omzol 20mg Capsules
1819,Jardiance 25mg Tablets
1820,Digoxin (Aspen) 250mcg Tablets
1821,Seretide 50mcg/250mcg Accuhaler
1822,METRONIDAZOLE 400MG TAB 21'S(EXETER)
1823,Iodine Tincture (Swan) 30ml
1824,Hydrogen Peroxide (Osons) 200ml
1825,Motrin PM 200mg/38mg Caplets
1826,Sulphur (Dannex) 40g ointment
1827,MAALOX PLAIN 150ML
1828,Tinatett Venecare 500ml Mixture
1829,Onetouch Select Plus Meter
1830,Onetouch Select Plus Flex Glucometer
1831,Covonia Vapour Drops 15ml
1832,Simvastatin (Teva) 40mg Tablets
1833,Man Active (60 Doses) Denk
1834,Enafix 200mg Tablets
1835,1st Aid Hand And Wrist Support
1836,Nystatin 100000IU/ml 30ml Suspension
1837,Strepsils Orange and Vitamin C Lozen
1838,FENPAED SUSP
1839,Abidec Multivitamin 25ml Drops
1840,Extrammune 200ml Syrup
1841,Cutacnyl 5% Cream
1842,Centrum Silver Men 50+ Tablets
1843,Lisinopril (Bovergreens) 10mg tablet
1844,Omezole 20mg capsule
1845,Cough Drops Honey Lemon (25 Doses)
1846,Nucleic Acid Extra/Puri(Sansure) Kit
1847,Augmentin 600mg IV
1848,Amaryl 2mg Tablets
1849,Colgate Navigator Plus Toothbrush
1850,Folic Acid (Crescent) 5mg Tablets
1851,ALEVE BACK AND MUSCLE PAIN 24'S(NAPRO
1852,Permanet Circular Net (Queen size)
1853,Folic acid(Letap) 5mg (10 Doses) Tab
1854,Proscar 5mg Tablets
1855,Cidal Bar Soap 125g (2 Pieces)
1856,sensodyne extra fresh 75ml paste
1857,Amaryl 4mg Tablets
1858,FLUCLOXACILLIN (LETAP) SUSP 100ML
1859,Nitrofurantion (Teva) 100mg Tablets
1860,Tadol 100mg Tablets
1861,Kingdom Garlic (Doses) Capsules
1862,Blood Lancet(Redbird)
1863,Excedrin PM Tablets
1864,A-L DS 40mg/240mg (12 Doses) Tablets
1865,Pregasafe 75mg Capsules
1866,Disp. Virus Samp.(Focusgen) Swab Kit
1867,Joy Ointment
1868,Emgiflox (m&g) 250mg capsules
1869,Xarelto 15mg Tablets
1870,Perfectdent (Strawberry) lozenges
1871,vieling acrylic 250G (green tea)
1872,Vitafol (30 Doses) Tablets
1873,LG Losacar 100mg Tablets
1874,ATROVENT Inhaler CFC-Free
1875,Quetiapine (Ascend) 25mg Tablets
1876,Polyfer (30 Doses) Capsules
1877,Lariam 250mg Tablets
1878,Mentos Gum Juice
1879,ARIA TYPHOID COMBO RAPID TEST KIT
1880,Maxmox 250mg Capsules
1881,Vielung Acrylic (Green Tea) 200g
1882,HIV T-1 Kit (24s)
1883,Zithromax 200mg/5ml 15ml Suspension
1884,Mandanol 0.9% Nasal Drops
1885,Finasteride 5mg Tablets
1886,Fleming 1000mg Tablets
1887,Cialis 20mg Tablets
1888,Candesan 8mg Tablets
1889,Tylenol PM 500mg/25mg Caplets
1890,Feldene 0.5% Topical
1891,Candid V 2% 30g Gel
1892,1st Aid Jumbo Plasters
1893,Scar Gel (Dr. Sheffield's) 28g
1894,Gebexime 125mg/5ml 70ml Suspension
1895,Tiger (Strawberry) Lozenges
1896,Luex Children's Dry Cough 150ml Syrup
1897,Foxitil 250mg Tablets
1898,Chapstick
1899,olive oil (alissa) 10ml ear drop
1900,Fine Fine Cream 38g
1901,Tears Naturale II Eye Drops
1902,Claritine 5mg/5ml 100ml Syrup
1903,Leena (30 Doses) Capsules
1904,CHLORPHENIRAMINE 4MG (ECL) TABS
1905,Fiesta classic condom (3 pieces)
1906,lisinopril (Teva) 10mg Tablets
1907,Apdyl-H 200ml Syrup
1908,Milk of Magnesia (Equate) 769ml
1909,Allerex Eye Drop
1910,Femiforte (20 Doses) Tablets
1911,Ramipril (Teva) 10mg Tablets
1912,Rogogent 0.3% Eye Drops
1913,HEALTHAID GINKOVITAL CAPS
1914,Spironolactone (Teva) 25mg Tablets
1915,Osteocare (30 Doses) Tablets
1916,Lofnac 100mg Suppository
1917,LUEX ADULT NIGHT
1918,Concor 2.5mg Tablets
1919,Aboniki 25g Balm
1920,Biopentin 300mg Tablets
1921,Blistex Lip Balm (All Flavours)
1922,Cetapol 500mg (10 Doses) Tablet
1923,GLUCO-NAF D
1924,Cardioace (30 Doses) Capsules
1925,ADVIL JUNIOR 100MG CHEWABLE TABS (6-11YR
1926,Polar Ice Gel
1927,Permoxyl 500mg Capsules
1928,Epicrom 2% Eye Drop
1929,Syringe/Needle 10ml
1930,ALUMINIUM HYDROXIDE TAB
1931,Haemoglobin (Ayrtons) Syrup
1932,Epilim 200mg/5ml 300ml Syrup
1933,Protective Goggle (Morel Equipment)
1934,Seretide 50mcg/100mcg Accuhaler
1935,Septrin 80mg/400mg Tablets
1936,Iponatic (Sansure)
1937,Amitriptyline(Brown &Burk) 25mg tab
1938,Redbird Aria Rapid Malaria Test Kit
1939,AMLODIPINE 10MG (EXETER) TAB
1940,Premier Corn Removers
1941,"Gauze Bandage 6"""
1942,Amexine 5mg Tablets
1943,Inozith 500mg Tablets
1944,Cyclogest 200mg Pessaries
1945,AGBEVE PEVAH SYR
1946,Ginsomin (30 Doses) Capusles
1947,Bepanthen 5%w/v Ointment 30g
1948,SALBUTAMOL 2.5MG/2.5ML
1949,CO-CODAMOL
1950,Cussons Baby Bar Soap 60g
1951,Opticrom 2% 5ml Eye Drops
1952,T-TETRACIN 250MG CAPS
1953,Gabapentin (Teva) 300mg Capsules
1954,ABC Zinc Syrup 100ml
1955,BEST HEALTH MENTHOL COUGH LOZENGES (MENT
1956,Lisinopril (Teva) 20mg Tablets
1957,Day Nurse Syrup
1958,COVONIA CHESTY COUGH SUGAR-FREE 150ML
1959,Femfresh Feminine Wash 150ml
1960,Artesun 60mg IV
1961,Gyprone Plus Syrup
1962,Pearl Drops White Sparkle 50ml
1963,ARTESUNATE (LAVINA) 30MG/15ML INJ
1964,Olive Oil (Borges) 250ml
1965,Vita C (Menzbek) Syrup 100ml
1966,Coartem 20mg/120mg (18 doses) Tablets
1967,RINGERS LACTATE INFUSION 500ML
1968,Gelofusine 4% 500ml Infusion
1969,Femix Herbal (10 Doses) Capsules
1970,FLUCLOXACILLIN 250MG
1971,Bell's Vitamin C 100ml Syrup
1972,Glipizide (Mylan) 5mg
1973,Dalacin-C 75mg/5ml Suspension
1974,Flomaxtra XL 400mcg Capsules
1975,Right Guard Deo Stick Sport Fresh 85g
1976,Lisinopril (Almus) 10mg Tablets
1977,REDOXON EFF TABS
1978,Sildenafil (Exeter) 100mg Tablets
1979,Decatylen Lozenges
1980,Levothyroxine (Teva) 100mcg Tablets
1981,Exator 10mg Tablets
1982,Colgate herbal 70G
1983,Pears Transparent Soap
1984,Deep Heat Rub 15g
1985,Plasmotrim-50 50mg Capsules
1986,Sebamed Baby Lotion 100ml
1987,biohazard bags (medium)
1988,King Size Condoms (3 Pieces)
1989,Calpol 0.9% Saline 15ml Nasal Spray
1990,Epitimol 0.5% Eye Drop
1991,PANADOL PERIOD PAIN (14 DOSES)
1992,Tobrin 0.3% 5ml Eye Drops
1993,Omega Oil
1994,Masada Herbal Mixture
1995,Neoral 50mg Capsules
1996,Adom Koo (30 doses) Capsules
1997,Rough Rider Condoms (3 Pieces)
1998,Zinacef 750mg Injection
1999,HEADACHE PM (ASSURED) CAPS 20'S
2000,Reach Mouthwash 400ml
2001,PLAN-2
2002,Samalin Junior Non Drowsy 2% Syrup
2003,CARTEF DS 80/480 TABS
2004,Terbinafine 1% Cream
2005,Menthodex Lozenges
2006,ROGOPHEN (CHLORAMPHENICOL) EYE DROPS
2007,Pharmaderm Soap (Original) 75g
2008,Diclofenac (Sandoz) 75mg Tablets
2009,Neo-Medrol 25ml
2010,Roc Mixture 250ml
2011,Pregnancy Test Kits(Zedors)
2012,Cloxacillin (letap) 250mg capsule
2013,Calprofen 100mg/5ml 100ml Suspension
2014,Glimeperide(Brown&Burk) 2mg Tab
2015,Menopace (30 Doses) Tablets
2016,Wellbaby Drops
2017,ON CALL E
2018,Paracetamol (Galpharm) 3+ 100ml Syr.
2019,GTN SPRAY 400MCG
2020,Ephedrine(Omer) 0.5% 10ml Nasal Drop
2021,Tampax (20 Pieces)
2022,HEALTHAID CIDER TRIM (90 DOSES) CAPS
2023,Covid-19 Antigen RDT (Edinburgh Gen)
2024,Dettol Antiseptic 250ml
2025,Omeprazole (Zentiva) 20mg
2026,FEROGLOBIN SYR 500ML
2027,Xtivor Condom (3 Pieces)
2028,Carex Hand Sanitizer 50ml
2029,Neo-Cort EEN 10ml Eye Drop
2030,Eurax 10% Cream 30g
2031,Durex Play Lubricant 50ml
2032,Plastic Caps
2033,Vikil-20 Immune Booster 200ml Syrup
2034,Freeze Spray (Masterplast) 150ml
2035,STOMACH RELIEF SYR 237ML
2036,Cortisone 1% (Hydrocortisone ) 15g
2037,Aim Dental Floss 50's
2038,NIFEDI-DENK 20MG
2039,Encifer 100mg/5ml Injection
2040,Pariet 20mg Tablets
2041,Hydrocortisone (Lavina) 15g Cream
2042,Losartan (Exeter) 50mg Tablets
2043,MAALOX PLUS TABS
2044,GINSOMIN EVE
2045,Mycole
2046,Cod Liver Oil (Blue Aid) 170ml
2047,carvedilol (exeter) 25mg tablet
2048,Dextrose Saline Infusion(ATLS) 500ml
2049,Clopidogrel(Zentiva)75mg Tablet
2050,Ceftatime-1000 (Ceftriaxone) Inj.
2051,Galvus 50mg Tablets
2052,Methylated Spirit (ECL) 125ml
2053,Vaseline Lotion 100ml
2054,Zavicefta 2g/0.5g
2055,Dopatab 250mg Tablets
2056,Bell's Liquid Paraffin 100ml
2057,Sample Release Reagent
2058,Cod Liver Oil (Blue Aid) 100ml
2059,Inno-Ceft (Ceftriaxone) 1g Inj.
2060,NXT 400 Capsules
2061,Medisalb (Salbutamol ) Inhaler
2062,Mamia Baby Diaper Size 3 Midi (56's)
2063,Durex Extra Safe Condom (3 pieces)
2064,Levothyroxine(Accord) 50mcg Tablets
2065,ENALAPRIL MALEATE 10MG (DEXCEL)
2066,Whitfield (Dannex) Ointment 40g
2067,Advantan (0.1%) 15g Cream
2068,Bedicold Tablet
2069,Strepsils Honey and Lemon Lozen.
2070,Gentamicin (Exeter) 0.3% drop
2071,Alphagan 0.15% w/v Eye Drop
2072,Olive Oil (Borges) 500ml
2073,Inozith 250mg Capsules
2074,Digoxin (Northstar) 250mcg Tablets
2075,A-L FORTE 80/480 (6 DOSES)
2076,MOLFIX JUMBO E
2077,Jergens (3 Sets)
2078,CO-TRIMOXAZOLE 480MG
2079,Omron Weighing Scale
2080,TETANUS ANTITIXIN (B.E) 1ML
2081,ATORVASTATIN (EXETER) 20MG
2082,Atenolol (Crescent) 50mg Tablets
2083,Vesicare 5mg Tablets
2084,Cyprodine Capsules
2085,Triplixam 10mg/2.5mg/10mg Tablets
2086,Strepsils Orange & Vitamin C Lozen.
2087,Tothema 10ml Ampoules
2088,Dettol Antiseptic 750ml
2089,Daktarin 2% 15g Cream
2090,EXFORGE HCT 10/160/12.5 MG
2091,Ganfort Eye Drops
2092,Mucus Relief (10 Doses) Tablets
2093,Maame Dagomba Ointment
2094,Maxidex 0.1% 3.5g Eye Ointment
2095,Optrex Eye Wash 100ml
2096,H/AID EVENG. PRIMROSE 1000MG
