,Region Keywords,Regions,Locations,locs
943,Vo,Volta,Dzolo Gbogame,"Dzolo Gbogame, Volta"
944,Ot,Oti,Dzolu,"Dzolu, Oti"
945,Vo,Volta,Dzorkpe,"Dzorkpe, Volta"
946,GA,Greater Accra,Dzorwulu,"Dzorwulu, Greater Accra"
947,Ea,Eastern,Edimso,"Edimso, Eastern"
948,As,Ashanti,Eduaniyede,"Eduaniyede, Ashanti"
949,As,Ashanti,Edubiase,"Edubiase, Ashanti"
950,As,Ashanti,Edwenase,"Edwenase, Ashanti"
951,We,Western,Efasu,"Efasu, Western"
952,We,Western,Effia Nkwanta,"Effia Nkwanta, Western"
953,As,Ashanti,Effiduase,"Effiduase, Ashanti"
954,Ea,Eastern,Effiduase,"Effiduase, Eastern"
955,We,Western,Efuanta,"Efuanta, Western"
956,Ce,Central,Efutu,"Efutu, Central"
957,We,Western,Egbazo,"Egbazo, Western"
958,Ce,Central,Eguafo,"Eguafo, Central"
959,Ce,Central,Eguase,"Eguase, Central"
960,Ce,Central,Egyaa,"Egyaa, Central"
961,We,Western,Egyambra,"Egyambra, Western"
962,Ot,Oti,Ehiamankyene,"Ehiamankyene, Oti"
963,Ce,Central,Ehwia,"Ehwia, Central"
964,We,Western,Eikwe,"Eikwe, Western"
965,As,Ashanti,Ejisu,"Ejisu, Ashanti"
966,As,Ashanti,Ejura,"Ejura, Ashanti"
967,We,Western,Ekabaku,"Ekabaku, Western"
968,Ce,Central,Ekon,"Ekon, Central"
969,We,Western,Ekpu,"Ekpu, Western"
970,Ce,Central,Ekrawfo,"Ekrawfo, Central"
971,No,Northern,Ekumdipe A,"Ekumdipe A, Northern"
972,Ce,Central,Ekumpoano,"Ekumpoano, Central"
973,Ce,Central,Ekurabadze,"Ekurabadze, Central"
974,We,Western,Ellenda,"Ellenda, Western"
975,We,Western,Ellenda Wharf,"Ellenda Wharf, Western"
976,We,Western,Ellonyi,"Ellonyi, Western"
977,WN,Western North,Elluokrom,"Elluokrom, Western North"
978,Ce,Central,Elmina,"Elmina, Central"
979,We,Western,Elubo,"Elubo, Western"
980,WN,Western North,Enchi,"Enchi, Western North"
981,Ce,Central,Enyan Denkyira,"Enyan Denkyira, Central"
982,We,Western,Enyinabrim,"Enyinabrim, Western"
983,Ce,Central,Enyindakurom,"Enyindakurom, Central"
984,Ea,Eastern,Enyiresi,"Enyiresi, Eastern"
985,As,Ashanti,Esaase (B.Freho),"Esaase (B.Freho), Ashanti"
986,As,Ashanti,Esaase (Juaben),"Esaase (Juaben), Ashanti"
987,Ea,Eastern,Eshiem,"Eshiem, Eastern"
988,We,Western,Eshiem,"Eshiem, Western"
989,Ce,Central,Esiam,"Esiam, Central"
990,WN,Western North,Essam,"Essam, Western North"
991,Ce,Central,Essaman,"Essaman, Central"
992,We,Western,Essaman,"Essaman, Western"
993,We,Western,Essamang,"Essamang, Western"
994,Ce,Central,Essarkyir,"Essarkyir, Central"
995,We,Western,Essikadu,"Essikadu, Western"
996,Ce,Central,Essuekyir,"Essuekyir, Central"
997,As,Ashanti,Essumeja,"Essumeja, Ashanti"
998,As,Ashanti,Essuowin,"Essuowin, Ashanti"
999,We,Western,Esuoso,"Esuoso, Western"
1000,We,Western,Esuowa,"Esuowa, Western"
1001,We,Western,Ewusiejoe,"Ewusiejoe, Western"
1002,We,Western,Ezinlibo,"Ezinlibo, Western"
1003,GA,Greater Accra,Faajiemohe,"Faajiemohe, Greater Accra"
1004,BE,Bono East,Faaman,"Faaman, Bono East"
1005,Ea,Eastern,Faaso,"Faaso, Eastern"
1006,WN,Western North,Fahiakobo,"Fahiakobo, Western North"
1007,Vo,Volta,Fakpoe,"Fakpoe, Volta"
1008,Vo,Volta,Fanchirinko,"Fanchirinko, Volta"
1009,As,Ashanti,Fankyenebra,"Fankyenebra, Ashanti"
1010,Ea,Eastern,Fankyeneko,"Fankyeneko, Eastern"
1011,Ot,Oti,Fankyeneko,"Fankyeneko, Oti"
1012,GA,Greater Accra,Fantevikope,"Fantevikope, Greater Accra"
1013,We,Western,Fanti Village,"Fanti Village, Western"
1014,UE,Upper East,Farfar,"Farfar, Upper East"
1015,Ea,Eastern,Faso,"Faso, Eastern"
1016,As,Ashanti,Fawoade,"Fawoade, Ashanti"
1017,Ah,Ahafo,Fawohoyeden,"Fawohoyeden, Ahafo"
1018,As,Ashanti,Fawoman,"Fawoman, Ashanti"
1019,We,Western,Fawomanye,"Fawomanye, Western"
1020,As,Ashanti,Fenaso,"Fenaso, Ashanti"
1021,UE,Upper East,Feo,"Feo, Upper East"
1022,As,Ashanti,Fereso No.2,"Fereso No.2, Ashanti"
1023,Bo,Bono,Fetentaa,"Fetentaa, Bono"
1024,Bo,Bono,Feteyano,"Feteyano, Bono"
1025,Ce,Central,Fetteh,"Fetteh, Central"
1026,Vo,Volta,Fiafe,"Fiafe, Volta"
1027,GA,Greater Accra,Fiakonya,"Fiakonya, Greater Accra"
1028,As,Ashanti,Fiankoma,"Fiankoma, Ashanti"
1029,Bo,Bono,Fiapre,"Fiapre, Bono"
1030,BE,Bono East,Fiaso,"Fiaso, Bono East"
1031,UW,Upper West,Fielmuo,"Fielmuo, Upper West"
1032,We,Western,Fijai,"Fijai, Western"
1033,As,Ashanti,Foase,"Foase, Ashanti"
1034,As,Ashanti,Fomena,"Fomena, Ashanti"
1035,BE,Bono East,Forikrom,"Forikrom, Bono East"
1036,Ea,Eastern,Frankadua,"Frankadua, Eastern"
1037,As,Ashanti,Freboye Nos.1&2,"Freboye Nos.1&2, Ashanti"
1038,BE,Bono East,Fulanikrom,"Fulanikrom, Bono East"
1039,UE,Upper East,Fumbisi,"Fumbisi, Upper East"
1040,Vo,Volta,Fume,"Fume, Volta"
1041,As,Ashanti,Fumso,"Fumso, Ashanti"
1042,UW,Upper West,Funsi,"Funsi, Upper West"
1043,We,Western,Furabawye,"Furabawye, Western"
1044,We,Western,Fure,"Fure, Western"
1045,We,Western,Fweyiye,"Fweyiye, Western"
1046,UW,Upper West,Ga Town,"Ga Town, Upper West"
1047,No,Northern,Gaa,"Gaa, Northern"
1048,UE,Upper East,Gaani,"Gaani, Upper East"
1049,UW,Upper West,Gaapare,"Gaapare, Upper West"
1050,NE,North East,Gambaga,"Gambaga, North East"
1051,UE,Upper East,Gangoboka,"Gangoboka, Upper East"
1052,NE,North East,Ganzeeri,"Ganzeeri, North East"
1053,BE,Bono East,Garadima,"Garadima, Bono East"
1054,No,Northern,Garin Dade,"Garin Dade, Northern"
1055,No,Northern,Garin Dogo,"Garin Dogo, Northern"
1056,NE,North East,Garinkuka,"Garinkuka, North East"
1057,UE,Upper East,Garu,"Garu, Upper East"
1058,Vo,Volta,Gbadzeme,"Gbadzeme, Volta"
1059,UW,Upper West,Gbaliwob,"Gbaliwob, Upper West"
1060,No,Northern,Gbambu,"Gbambu, Northern"
1061,NE,North East,Gbandaa,"Gbandaa, North East"
1062,NE,North East,Gbankoni,"Gbankoni, North East"
1063,GA,Greater Accra,Gbawe,"Gbawe, Greater Accra"
1064,UE,Upper East,Gbedema,"Gbedema, Upper East"
1065,UE,Upper East,Gbedembilisi,"Gbedembilisi, Upper East"
1066,Vo,Volta,Gbedzekope,"Gbedzekope, Volta"
1067,Vo,Volta,Gbefi Hoeme,"Gbefi Hoeme, Volta"
1068,Vo,Volta,Gbi Wegbe,"Gbi Wegbe, Volta"
1069,Sa,Savannah,Gbongbonduori,"Gbongbonduori, Savannah"
1070,Vo,Volta,Gbota,"Gbota, Volta"
1071,Vo,Volta,Gboxome,"Gboxome, Volta"
1072,Ot,Oti,Gekrong,"Gekrong, Oti"
1073,UE,Upper East,Gia,"Gia, Upper East"
1074,Sa,Savannah,Gida Wichie,"Gida Wichie, Savannah"
1075,GA,Greater Accra,Gigedokum,"Gigedokum, Greater Accra"
1076,Sa,Savannah,Gindabor,"Gindabor, Savannah"
1077,Vo,Volta,Glidzi,"Glidzi, Volta"
1078,Vo,Volta,Glime,"Glime, Volta"
1079,Ah,Ahafo,GOASO,"GOASO, Ahafo"
1080,Ce,Central,Gomoa Afransi,"Gomoa Afransi, Central"
1081,Ce,Central,Gomoa Ajumako,"Gomoa Ajumako, Central"
1082,Ce,Central,Gomoa Assin,"Gomoa Assin, Central"
1083,Ce,Central,Gomoa Brofo,"Gomoa Brofo, Central"
1084,Ce,Central,Gomoa Brofoyedur,"Gomoa Brofoyedur, Central"
1085,Ce,Central,Gomoa Denkyira,"Gomoa Denkyira, Central"
1086,Ce,Central,Gomoa Gyaman,"Gomoa Gyaman, Central"
1087,Ce,Central,Gomoa Kumasi,"Gomoa Kumasi, Central"
1088,Ce,Central,Gomoa Lome,"Gomoa Lome, Central"
1089,Ce,Central,Gomoa Ngyeresi,"Gomoa Ngyeresi, Central"
1090,Ce,Central,Gomoa Nkoranza,"Gomoa Nkoranza, Central"
1091,Ce,Central,Gomoa Odina,"Gomoa Odina, Central"
1092,Ce,Central,Gomoa Oguaa,"Gomoa Oguaa, Central"
1093,Ce,Central,Gomoa Tarkwa,"Gomoa Tarkwa, Central"
1094,UW,Upper West,Gonggo,"Gonggo, Upper West"
1095,GA,Greater Accra,Gonse,"Gonse, Greater Accra"
1096,Vo,Volta,Gonu,"Gonu, Volta"
1097,UW,Upper West,Goriyiri,"Goriyiri, Upper West"
1098,Vo,Volta,Goviefe Agordome,"Goviefe Agordome, Volta"
1099,Vo,Volta,Goviefe Kowu,"Goviefe Kowu, Volta"
1100,Vo,Volta,Goviefe Todzi,"Goviefe Todzi, Volta"
1101,UE,Upper East,Gowrie,"Gowrie, Upper East"
1102,UE,Upper East,Gozeisi,"Gozeisi, Upper East"
1103,Bo,Bono,Gradaw,"Gradaw, Bono"
1104,Ot,Oti,Grubi,"Grubi, Oti"
1105,Sa,Savannah,Grunshie Zongo,"Grunshie Zongo, Savannah"
1106,Sa,Savannah,Grupe,"Grupe, Savannah"
1107,Sa,Savannah,Gua,"Gua, Savannah"
1108,NE,North East,Guabuliga,"Guabuliga, North East"
1109,Ot,Oti,Guaman,"Guaman, Oti"
1110,Vo,Volta,Gui,"Gui, Volta"
1111,No,Northern,Gulubi,"Gulubi, Northern"
1112,No,Northern,Gunaayili,"Gunaayili, Northern"
1113,UE,Upper East,Gundari,"Gundari, Upper East"
1114,No,Northern,Gundo,"Gundo, Northern"
1115,No,Northern,Gunguni,"Gunguni, Northern"
1116,No,Northern,Gunsi,"Gunsi, Northern"
1117,No,Northern,Guntingli,"Guntingli, Northern"
1118,UW,Upper West,Guri,"Guri, Upper West"
1119,No,Northern,Gushegu,"Gushegu, Northern"
1120,We,Western,Gwira Banso,"Gwira Banso, Western"
1121,We,Western,Gwira Eshiem,"Gwira Eshiem, Western"
1122,UW,Upper West,Gwollu,"Gwollu, Upper West"
1123,Sa,Savannah,Gyafo,"Gyafo, Savannah"
1124,Ce,Central,Gyahadze,"Gyahadze, Central"
1125,Ea,Eastern,Gyakiti,"Gyakiti, Eastern"
1126,Ce,Central,Gyangyanadze,"Gyangyanadze, Central"
1127,Ea,Eastern,Gyankama,"Gyankama, Eastern"
1128,We,Western,Gyedua Kese,"Gyedua Kese, Western"
1129,We,Western,Gyimakrom,"Gyimakrom, Western"
1130,Ce,Central,Gyinakuma,"Gyinakuma, Central"
1131,GA,Greater Accra,Haatso,"Haatso, Greater Accra"
1132,UW,Upper West,Halembei,"Halembei, Upper West"
1133,We,Western,Half Assini,"Half Assini, Western"
1134,UW,Upper West,Hamile,"Hamile, Upper West"
1135,Ce,Central,Hasowodze,"Hasowodze, Central"
1136,Vo,Volta,Hatorgodo,"Hatorgodo, Volta"
1137,Vo,Volta,Hedzranawo,"Hedzranawo, Volta"
1138,Vo,Volta,Helekpe,"Helekpe, Volta"
1139,As,Ashanti,Hemang,"Hemang, Ashanti"
1140,Ce,Central,Hemang,"Hemang, Central"
1141,As,Ashanti,Hia,"Hia, Ashanti"
1142,We,Western,Hianye,"Hianye, Western"
1143,As,Ashanti,Hiawoanwu,"Hiawoanwu, Ashanti"
1144,As,Ashanti,Hiawu Besease,"Hiawu Besease, Ashanti"
1145,UW,Upper West,Hiel,"Hiel, Upper West"
1146,We,Western,Himakrom,"Himakrom, Western"
1147,We,Western,Himan,"Himan, Western"
1148,Vo,Volta,Hlefi Todome,"Hlefi Todome, Volta"
1149,Vo,Volta,Ho Town,"Ho Town, Volta"
1150,Vo,Volta,Hodzoga,"Hodzoga, Volta"
1151,Vo,Volta,Hohoe,"Hohoe, Volta"
1152,GA,Greater Accra,Huapa,"Huapa, Greater Accra"
1153,Ea,Eastern,Huhunya,"Huhunya, Eastern"
1154,WN,Western North,Humjibre,"Humjibre, Western North"
1155,We,Western,Huni Valley,"Huni Valley, Western"
1156,We,Western,Huniabawye,"Huniabawye, Western"
1157,We,Western,Huniano Nos. 1 & 2,"Huniano Nos. 1 & 2, Western"
1158,We,Western,Huniso,"Huniso, Western"
1159,Ea,Eastern,Hweehwee,"Hweehwee, Eastern"
1160,Ah,Ahafo,Hwidiem,"Hwidiem, Ahafo"
1161,As,Ashanti,Hwidiem,"Hwidiem, Ashanti"
1162,BE,Bono East,Hwidiem,"Hwidiem, Bono East"
1163,We,Western,Hyedua,"Hyedua, Western"
1164,We,Western,Insu,"Insu, Western"
1165,Ce,Central,Jacobkrom,"Jacobkrom, Central"
1166,As,Ashanti,Jacobu,"Jacobu, Ashanti"
1167,No,Northern,Jagere,"Jagere, Northern"
1168,No,Northern,Jaguriyili,"Jaguriyili, Northern"
1169,NE,North East,Jakpa,"Jakpa, North East"
1170,No,Northern,Jakpa,"Jakpa, Northern"
1171,As,Ashanti,Jamasi,"Jamasi, Ashanti"
1172,Sa,Savannah,Janikura,"Janikura, Savannah"
1173,No,Northern,Jankonyili,"Jankonyili, Northern"
1174,Bo,Bono,Jankufa,"Jankufa, Bono"
1175,Bo,Bono,Japekrom,"Japekrom, Bono"
1176,Ot,Oti,Jasikan,"Jasikan, Oti"
1177,We,Western,Jaway Wharf,"Jaway Wharf, Western"
1178,Ea,Eastern,Jebikura,"Jebikura, Eastern"
1179,UW,Upper West,Jeffisi,"Jeffisi, Upper West"
1180,UW,Upper West,Jefiyiri,"Jefiyiri, Upper West"
1181,No,Northern,Jegrido,"Jegrido, Northern"
1182,Ah,Ahafo,Jeinsuso,"Jeinsuso, Ahafo"
1183,Ea,Eastern,Jejeti Nkwanta,"Jejeti Nkwanta, Eastern"
1184,BE,Bono East,Jema,"Jema, Bono East"
1185,Bo,Bono,Jensoso,"Jensoso, Bono"
1186,Sa,Savannah,Jerayili,"Jerayili, Savannah"
1187,Sa,Savannah,Jeyiri,"Jeyiri, Savannah"
1188,UW,Upper West,Jeyiri,"Jeyiri, Upper West"
1189,Sa,Savannah,Jilinkon,"Jilinkon, Savannah"
1190,As,Ashanti,Jimiso Kakraba,"Jimiso Kakraba, Ashanti"
1191,Bo,Bono,Jinijini,"Jinijini, Bono"
1192,Bo,Bono,Jinini,"Jinini, Bono"
1193,Ce,Central,Jira Akyinim,"Jira Akyinim, Central"
1194,UW,Upper West,Jirapa,"Jirapa, Upper West"
1195,UW,Upper West,Jolinyiri,"Jolinyiri, Upper West"
1196,As,Ashanti,Juaben,"Juaben, Ashanti"
1197,WN,Western North,Juaboso,"Juaboso, Western North"
1198,No,Northern,Juanayili,"Juanayili, Northern"
1199,Vo,Volta,Juapong,"Juapong, Volta"
1200,As,Ashanti,Juaso,"Juaso, Ashanti"
1201,Ce,Central,Jukwa,"Jukwa, Central"
1202,We,Western,Jukwa,"Jukwa, Western"
1203,Ce,Central,Jukwa Mfuom,"Jukwa Mfuom, Central"
1204,We,Western,Kabenlasuazo,"Kabenlasuazo, Western"
1205,Bo,Bono,Kabile,"Kabile, Bono"
1206,Ea,Eastern,Kade,"Kade, Eastern"
1207,UE,Upper East,Kadema,"Kadema, Upper East"
1208,Ea,Eastern,Kadewaso,"Kadewaso, Eastern"
1209,Ot,Oti,Kadjebi,"Kadjebi, Oti"
1210,Sa,Savannah,Kafaba,"Kafaba, Savannah"
1211,Ce,Central,Kafodzidzi,"Kafodzidzi, Central"
1212,BE,Bono East,Kajaji,"Kajaji, Bono East"
1213,Vo,Volta,Kakadedzi,"Kakadedzi, Volta"
1214,UW,Upper West,Kakalapari,"Kakalapari, Upper West"
1215,Ce,Central,Kakanase,"Kakanase, Central"
1216,Ce,Central,Kakumdo,"Kakumdo, Central"
1217,UE,Upper East,Kalijiisa,"Kalijiisa, Upper East"
1218,UW,Upper West,Kambaa,"Kambaa, Upper West"
1219,We,Western,Kamgbunli,"Kamgbunli, Western"
1220,UE,Upper East,Kanaansa,"Kanaansa, Upper East"
1221,Sa,Savannah,Kanakulai,"Kanakulai, Savannah"
1222,UW,Upper West,Kandia,"Kandia, Upper West"
1223,UE,Upper East,Kanjarga,"Kanjarga, Upper East"
1224,Ea,Eastern,Kankan,"Kankan, Eastern"
1225,We,Western,Kansawurado,"Kansawurado, Western"
1226,No,Northern,Karaga,"Karaga, Northern"
1227,NE,North East,Karimenga,"Karimenga, North East"
1228,WN,Western North,Karlo,"Karlo, Western North"
1229,As,Ashanti,Kasaam,"Kasaam, Ashanti"
1230,As,Ashanti,Kasei,"Kasei, Ashanti"
1231,Ce,Central,Kasoa,"Kasoa, Central"
1232,GA,Greater Accra,Kasunya,"Kasunya, Greater Accra"
1233,Ce,Central,Katakyiase,"Katakyiase, Central"
1234,GA,Greater Accra,Katamanso,"Katamanso, Greater Accra"
1235,UW,Upper West,Katua,"Katua, Upper West"
1236,Ah,Ahafo,Kawteigo,"Kawteigo, Ahafo"
1237,Vo,Volta,Kedzi,"Kedzi, Volta"
1238,UE,Upper East,Kejetia,"Kejetia, Upper East"
1239,We,Western,Kengen,"Kengen, Western"
1240,As,Ashanti,Kenyase,"Kenyase, Ashanti"
1241,Ah,Ahafo,Kenyasi,"Kenyasi, Ahafo"
1242,Ot,Oti,Keri,"Keri, Oti"
1243,Vo,Volta,Keta,"Keta, Volta"
1244,Ot,Oti,Kete Krachi,"Kete Krachi, Oti"
1245,We,Western,Ketiboa Blay Village,"Ketiboa Blay Village, Western"
1246,Ea,Eastern,Kibi,"Kibi, Eastern"
1247,We,Western,Kikam,"Kikam, Western"
1248,BE,Bono East,Kintampo,"Kintampo, Bono East"
1249,Ce,Central,Kissi,"Kissi, Central"
1250,No,Northern,Kitare,"Kitare, Northern"
1251,Vo,Volta,Klave,"Klave, Volta"
1252,Vo,Volta,Klikor,"Klikor, Volta"
1253,Ea,Eastern,Klo Akwapim,"Klo Akwapim, Eastern"
1254,Vo,Volta,Kluma,"Kluma, Volta"
1255,UE,Upper East,Kobdem,"Kobdem, Upper East"
1256,Ce,Central,Kobina Ansah,"Kobina Ansah, Central"
1257,As,Ashanti,Kobreso,"Kobreso, Ashanti"
1258,GA,Greater Accra,Kodiabe,"Kodiabe, Greater Accra"
1259,Ea,Eastern,Kodidi,"Kodidi, Eastern"
1260,As,Ashanti,Kodie,"Kodie, Ashanti"
1261,Vo,Volta,Kodzi,"Kodzi, Volta"
1262,BE,Bono East,Kofi Djan,"Kofi Djan, Bono East"
1263,Ea,Eastern,Kofi Kyere,"Kofi Kyere, Eastern"
1264,Ea,Eastern,Kofi Pare,"Kofi Pare, Eastern"
1265,As,Ashanti,Kofiase,"Kofiase, Ashanti"
1266,Bo,Bono,Kofiasua,"Kofiasua, Bono"
1267,WN,Western North,Kofikrom,"Kofikrom, Western North"
1268,BE,Bono East,Kofikuma,"Kofikuma, Bono East"
1269,Ea,Eastern,KOFORIDUA,"KOFORIDUA, Eastern"
1270,BE,Bono East,Kofoso,"Kofoso, Bono East"
1271,UW,Upper West,Kogri,"Kogri, Upper West"
1272,WN,Western North,Kojina,"Kojina, Western North"
1273,Ce,Central,Kojo Beedu,"Kojo Beedu, Central"
1274,BE,Bono East,Kojo Boffour,"Kojo Boffour, Bono East"
1275,As,Ashanti,Kojo Nkwanta,"Kojo Nkwanta, Ashanti"
1276,No,Northern,Kojoboni,"Kojoboni, Northern"
1277,BE,Bono East,Kojokrom,"Kojokrom, Bono East"
1278,We,Western,Kojokrom,"Kojokrom, Western"
1279,WN,Western North,Kojokrom,"Kojokrom, Western North"
1280,Sa,Savannah,Kojope,"Kojope, Savannah"
1281,Bo,Bono,Kokoa,"Kokoa, Bono"
1282,Ce,Central,Kokoado,"Kokoado, Central"
1283,As,Ashanti,Kokoben,"Kokoben, Ashanti"
1284,Ce,Central,Kokoben,"Kokoben, Central"
1285,Ea,Eastern,Kokobeng,"Kokobeng, Eastern"
1286,As,Ashanti,Kokofu,"Kokofu, Ashanti"
1287,BE,Bono East,Kokofu,"Kokofu, Bono East"
1288,UW,Upper West,Kokoligu,"Kokoligu, Upper West"
1289,GA,Greater Accra,Kokomlemle,"Kokomlemle, Greater Accra"
1290,Ce,Central,Kokoso,"Kokoso, Central"
1291,Ea,Eastern,Kokotintin,"Kokotintin, Eastern"
1292,As,Ashanti,Kokotro,"Kokotro, Ashanti"
1293,Ce,Central,Kokwado,"Kokwado, Central"
1294,Sa,Savannah,Kolayili,"Kolayili, Savannah"
1295,NE,North East,Kolinvai,"Kolinvai, North East"
1296,UE,Upper East,Kologo,"Kologo, Upper East"
1297,UE,Upper East,Kolpeligu,"Kolpeligu, Upper East"
1298,UE,Upper East,Kolsabulga,"Kolsabulga, Upper East"
1299,GA,Greater Accra,Koluedor,"Koluedor, Greater Accra"
1300,UW,Upper West,Koma,"Koma, Upper West"
1301,Ce,Central,Komenda,"Komenda, Central"
1302,As,Ashanti,Komeso,"Komeso, Ashanti"
1303,BE,Bono East,Komfourkrom,"Komfourkrom, Bono East"
1304,We,Western,Komfueku,"Komfueku, Western"
1305,No,Northern,Komoayili,"Komoayili, Northern"
1306,As,Ashanti,Kona,"Kona, Ashanti"
1307,As,Ashanti,Koniyaw,"Koniyaw, Ashanti"
1308,BE,Bono East,Konkoma,"Konkoma, Bono East"
1309,Ah,Ahafo,Konkontreso,"Konkontreso, Ahafo"
1310,Ea,Eastern,Konkonuru,"Konkonuru, Eastern"
1311,As,Ashanti,Konkori,"Konkori, Ashanti"
1312,Sa,Savannah,Konkori Camp,"Konkori Camp, Savannah"
1313,As,Ashanti,Konongo,"Konongo, Ashanti"
1314,As,Ashanti,Konongo-Odumase,"Konongo-Odumase, Ashanti"
1315,BE,Bono East,Kontonso,"Kontonso, Bono East"
1316,GA,Greater Accra,Kopodor,"Kopodor, Greater Accra"
1317,Bo,Bono,Korase,"Korase, Bono"
1318,Bo,Bono,Koraso,"Koraso, Bono"
1319,UW,Upper West,Korinyiri,"Korinyiri, Upper West"
1320,Ce,Central,Kormantse,"Kormantse, Central"
1321,Vo,Volta,Korvenu,"Korvenu, Volta"
1322,Ea,Eastern,Kotiyeabua,"Kotiyeabua, Eastern"
1323,GA,Greater Accra,Kotobabi,"Kotobabi, Greater Accra"
1324,Ea,Eastern,Kotokuom,"Kotokuom, Eastern"
1325,Ea,Eastern,Kotoso,"Kotoso, Eastern"
1326,Sa,Savannah,Kpalbe,"Kpalbe, Savannah"
1327,Vo,Volta,Kpale Xorse,"Kpale Xorse, Volta"
1328,No,Northern,Kpaligaboni,"Kpaligaboni, Northern"
1329,Vo,Volta,Kpalime Duga,"Kpalime Duga, Volta"
1330,No,Northern,Kpalisogu,"Kpalisogu, Northern"
1331,No,Northern,Kpalsako,"Kpalsako, Northern"
1332,UE,Upper East,Kpalsako,"Kpalsako, Upper East"
1333,No,Northern,Kpalsogu,"Kpalsogu, Northern"
1334,UE,Upper East,Kpalugu,"Kpalugu, Upper East"
1335,No,Northern,Kpandai,"Kpandai, Northern"
1336,Vo,Volta,Kpando,"Kpando, Volta"
1337,No,Northern,Kpankpan,"Kpankpan, Northern"
1338,NE,North East,Kpasenkpe,"Kpasenkpe, North East"
1339,Ot,Oti,Kpassa,"Kpassa, Oti"
1340,UE,Upper East,Kpataar,"Kpataar, Upper East"
1341,NE,North East,Kpatiritinga,"Kpatiritinga, North East"
1342,NE,North East,Kpatorigu,"Kpatorigu, North East"
1343,GA,Greater Accra,Kpatsedor,"Kpatsedor, Greater Accra"
1344,Vo,Volta,Kpedze,"Kpedze, Volta"
1345,GA,Greater Accra,Kpehe,"Kpehe, Greater Accra"
1346,Sa,Savannah,Kpembe,"Kpembe, Savannah"
1347,No,Northern,Kpembik,"Kpembik, Northern"
1348,Vo,Volta,Kpenoe,"Kpenoe, Volta"
1349,Vo,Volta,Kpenu,"Kpenu, Volta"
1350,Vo,Volta,Kpetoe,"Kpetoe, Volta"
1351,Vo,Volta,Kpetonu,"Kpetonu, Volta"
1352,Vo,Volta,Kpetsu,"Kpetsu, Volta"
1353,GA,Greater Accra,Kpetsupanya,"Kpetsupanya, Greater Accra"
1354,Vo,Volta,Kpeve,"Kpeve, Volta"
1355,Vo,Volta,Kpevi,"Kpevi, Volta"
1356,UE,Upper East,Kpikpira,"Kpikpira, Upper East"
1357,Vo,Volta,Kpogadzi,"Kpogadzi, Volta"
1358,Vo,Volta,Kpoglo,"Kpoglo, Volta"
1359,GA,Greater Accra,Kpone,"Kpone, Greater Accra"
1360,Ea,Eastern,Kpong,"Kpong, Eastern"
1361,GA,Greater Accra,Kpongunor,"Kpongunor, Greater Accra"
1362,GA,Greater Accra,Kposi,"Kposi, Greater Accra"
1363,Vo,Volta,Kpotame,"Kpotame, Volta"
1364,NE,North East,Kpukpabobgu,"Kpukpabobgu, North East"
1365,NE,North East,Kpukparigbinni,"Kpukparigbinni, North East"
1366,No,Northern,Kpunduli,"Kpunduli, Northern"
1367,Ea,Eastern,Kraboa,"Kraboa, Eastern"
1368,Ea,Eastern,Krabokese,"Krabokese, Eastern"
1369,Bo,Bono,Krakrom,"Krakrom, Bono"
1370,WN,Western North,Kramokrom,"Kramokrom, Western North"
1371,BE,Bono East,Kranka,"Kranka, Bono East"
1372,We,Western,Krisan,"Krisan, Western"
1373,Ce,Central,Krobo,"Krobo, Central"
1374,BE,Bono East,Krobo (Pru),"Krobo (Pru), Bono East"
1375,BE,Bono East,Krobo (Sene),"Krobo (Sene), Bono East"
1376,BE,Bono East,Krobo (Techiman N),"Krobo (Techiman N), Bono East"
1377,Ea,Eastern,Krobo Odumase,"Krobo Odumase, Eastern"
1378,Ce,Central,Krofu,"Krofu, Central"
1379,WN,Western North,Krokosue,"Krokosue, Western North"
1380,Ot,Oti,Kromase,"Kromase, Oti"
1381,As,Ashanti,Kubease,"Kubease, Ashanti"
1382,As,Ashanti,Kubekro,"Kubekro, Ashanti"
1383,GA,Greater Accra,Kubekro,"Kubekro, Greater Accra"
1384,Ot,Oti,Kudje,"Kudje, Oti"
1385,No,Northern,Kuduli,"Kuduli, Northern"
1386,Vo,Volta,Kudzra,"Kudzra, Volta"
1387,Ot,Oti,Kue,"Kue, Oti"
1388,UE,Upper East,Kugpela,"Kugpela, Upper East"
1389,UE,Upper East,Kugri,"Kugri, Upper East"
1390,UE,Upper East,Kugsabla,"Kugsabla, Upper East"
1391,UE,Upper East,Kuguriziegu,"Kuguriziegu, Upper East"
1392,UE,Upper East,Kuka,"Kuka, Upper East"
1393,NE,North East,Kukkagbinni,"Kukkagbinni, North East"
1394,No,Northern,Kukobila,"Kukobila, Northern"
1395,No,Northern,Kukpaligu,"Kukpaligu, Northern"
1396,No,Northern,Kukuo (Tamale),"Kukuo (Tamale), Northern"
1397,Ah,Ahafo,Kukuom,"Kukuom, Ahafo"
1398,Ea,Eastern,Kukurantumi,"Kukurantumi, Eastern"
1399,UW,Upper West,Kulfuo,"Kulfuo, Upper West"
1400,Vo,Volta,Kuli,"Kuli, Volta"
1401,No,Northern,Kulkpanga,"Kulkpanga, Northern"
1402,No,Northern,Kulkpene,"Kulkpene, Northern"
1403,UW,Upper West,Kulkpong,"Kulkpong, Upper West"
